Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Chayanne,El Ultimo Adiï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s - Varios ,El Ultimo Adiï¿½,single,0.276,0.572,-7.818,0.0377,0.641,0,0.2,0.285,77.986,3.957783333,EL ULTIMO ADIOS Ricky Martin Alejandro Sanz Thalia Shakira Gloria Estefan Chayanne Celia Cruz Juan Luis Guerra Luis Fonsi Carlos Vives Ricardo Montaner Alejandro Frnandez   El Ultimo Adios,Liannishabana,129107,973,107,FALSE,FALSE,169769959,3,Spotify
Chayanne,Dejarï¿½ï¿½ï¿,Atado A Tu Amor,album,0.631,0.751,-6.457,0.0284,0.449,0,0.286,0.685,143.924,4.741116667,Chayanne - Dejarï¿½ï¿½ï¿,chayanneVEVO,344790169,1213946,34345,TRUE,TRUE,185457245,3,Youtube
Chayanne,Un Siglo Sin Ti,Chayanne,album,0.611,0.674,-6.143,0.0279,0.0961,0,0.129,0.261,133.906,4.683783333,Chayanne - Un Siglo Sin Ti (Video Oficial),chayanneVEVO,382555979,1352278,42242,TRUE,TRUE,141498115,5,Youtube
Chayanne,Humanos a Marte,En Todo Estarï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ ,album,0.69,0.902,-4.269,0.0407,0.112,0,0.175,0.786,92.988,3.76645,Chayanne - Humanos a Marte (Official Video),chayanneVEVO,150644578,677360,16931,TRUE,TRUE,181228175,5,Spotify
Chayanne,Madre Tierra (Oye),En Todo Estarï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ ,album,0.695,0.954,-3.501,0.0607,0.0183,0,0.249,0.796,124.961,3.432,Chayanne - Madre Tierra (Oye) [Official Video],chayanneVEVO,154804639,738986,25018,TRUE,TRUE,134391079,4,Youtube
Chayanne,Yo Te Amo,Simplemente,album,0.573,0.642,-6.873,0.0272,0.189,0,0.221,0.492,140.264,4.815783333,Chayanne - Yo Te Amo (Official Video),chayanneVEVO,172409230,656524,19287,TRUE,TRUE,73913009,3,Youtube
Chayanne,Y Tï¿½ï¿½ï¿½,Chayanne,album,0.615,0.615,-7.939,0.0309,0.0189,1.78E-05,0.192,0.491,139.956,4.751116667,Chayanne - Y Tï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ Te Vas,chayanneVEVO,221552390,714967,22191,TRUE,TRUE,126878363,3,Youtube
Chayanne,Veo en ti la luz,Enredados,compilation,0.31,0.13,-14.14,0.0314,0.62,2.94E-06,0.0887,0.0809,103.821,3.62045,"Chayanne, Danna Paola - Veo en ti la luz (De ""Enredados""/Video Oficial)",DisneyMusicLAVEVO,25942458,186770,0,TRUE,TRUE,53928512,1,Spotify
Chayanne,Me Enamorï¿½ï¿½ï¿,No Hay Imposibles,album,0.521,0.566,-7.441,0.0329,0.0747,0,0.244,0.654,149.855,4.39445,Chayanne - Me Enamorï¿½ï¿½ï¿,chayanneVEVO,33464298,236820,5001,TRUE,TRUE,70993793,2,Spotify
Chayanne,Tu Pirata Soy Yo,Chayanne,album,0.337,0.376,-15.19,0.0313,0.455,0,0.113,0.255,97.311,2.892666667,Chayanne - Tu Pirata Soy Yo (Video oficial),tenek25,28160026,115057,5034,FALSE,FALSE,32610775,3,Spotify
Alan Jackson,Chattahoochee,A Lot About Livin' (And A Little 'Bout Love),album,0.606,0.706,-9.665,0.0379,0.362,0,0.16,0.819,174.533,2.469333333,Alan Jackson - Chattahoochee (Official HD Video),alanjacksonVEVO,154325789,750611,18063,TRUE,TRUE,166829226,4,Spotify
Alan Jackson,Good Time,Good Time,album,0.652,0.767,-10.445,0.0372,0.0355,6.92E-06,0.397,0.73,132.017,5.112883333,Alan Jackson - Good Time (Official Music Video),Retro Magazine Costa Rica,5590,100,7,FALSE,FALSE,75137770,2,Spotify
Alan Jackson,Little Bitty,Everything I Love,album,0.571,0.818,-6.539,0.0415,0.151,0,0.348,0.728,163.045,2.643783333,Alan Jackson - Little Bitty (Official Music Video),alanjacksonVEVO,74965456,333303,6199,TRUE,TRUE,108939189,2,Spotify
Alan Jackson,Drive (For Daddy Gene),Drive,album,0.713,0.579,-8.066,0.0413,0.338,0,0.174,0.511,125.179,4.04555,Alan Jackson - Drive (For Daddy Gene) (Official Music Video),alanjacksonVEVO,36583881,138429,5339,TRUE,TRUE,102020883,3,Spotify
Alan Jackson,It's Five O'Clock Somewhere (with Jimmy Buffett),Playlist: The Very Best Of Alan Jackson,compilation,0.713,0.768,-6.702,0.0363,0.22,0,0.177,0.878,125.203,3.837783333,"Alan Jackson, Jimmy Buffett - It's Five O' Clock Somewhere (Official Music Video)",alanjacksonVEVO,75283307,271609,7811,TRUE,TRUE,203334276,4,Spotify
Alan Jackson,Don't Rock the Jukebox,Don`t Rock The Jukebox,album,0.641,0.637,-10.92,0.0262,0.0495,0.000138,0.267,0.793,147.502,2.851116667,Alan Jackson - Don't Rock The Jukebox (Official Music Video),alanjacksonVEVO,16483688,73518,1565,TRUE,TRUE,62396534,2,Spotify
Alan Jackson,Freight Train,Freight Train,album,0.706,0.757,-7.543,0.0323,0.494,7.63E-05,0.116,0.69,120.967,4.651116667,Alan Jackson - Freight Train (Official Audio),alanjacksonVEVO,3425668,34029,869,TRUE,TRUE,53410881,7,Spotify
